model,dataset,evaluation_set,metric,score
nt_50_avg,H2AFZ,validation,eval_loss,0.506841302
nt_50_avg,H2AFZ,validation,eval_accuracy,0.752130682
nt_50_avg,H2AFZ,validation,eval_f1_score,0.751862627
nt_50_avg,H2AFZ,validation,eval_mcc,0.505798419
nt_50_avg,H2AFZ,validation,eval_runtime,2.1397
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1402.047
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.608
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.508778632
nt_50_avg,H2AFZ,validation,eval_accuracy,0.747159091
nt_50_avg,H2AFZ,validation,eval_f1_score,0.744905513
nt_50_avg,H2AFZ,validation,eval_mcc,0.504825562
nt_50_avg,H2AFZ,validation,eval_runtime,2.4136
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1242.953
nt_50_avg,H2AFZ,validation,eval_steps_per_second,4.972
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.49005568
nt_50_avg,H2AFZ,validation,eval_accuracy,0.759232955
nt_50_avg,H2AFZ,validation,eval_f1_score,0.756043027
nt_50_avg,H2AFZ,validation,eval_mcc,0.531253861
nt_50_avg,H2AFZ,validation,eval_runtime,2.1853
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1372.812
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.491
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.564164758
nt_50_avg,H2AFZ,validation,eval_accuracy,0.738991477
nt_50_avg,H2AFZ,validation,eval_f1_score,0.738494176
nt_50_avg,H2AFZ,validation,eval_mcc,0.480949954
nt_50_avg,H2AFZ,validation,eval_runtime,2.1824
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1374.651
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.499
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.5292992
nt_50_avg,H2AFZ,validation,eval_accuracy,0.747159091
nt_50_avg,H2AFZ,validation,eval_f1_score,0.74587118
nt_50_avg,H2AFZ,validation,eval_mcc,0.496893031
nt_50_avg,H2AFZ,validation,eval_runtime,2.1858
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1372.519
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.49
nt_50_avg,H2AFZ,validation,epoch,8.31
nt_50_avg,H2AFZ,validation,eval_loss,0.506886661
nt_50_avg,H2AFZ,validation,eval_accuracy,0.754616477
nt_50_avg,H2AFZ,validation,eval_f1_score,0.752822367
nt_50_avg,H2AFZ,validation,eval_mcc,0.517413544
nt_50_avg,H2AFZ,validation,eval_runtime,2.3907
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1254.874
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.019
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.489665687
nt_50_avg,H2AFZ,validation,eval_accuracy,0.762428977
nt_50_avg,H2AFZ,validation,eval_f1_score,0.759919385
nt_50_avg,H2AFZ,validation,eval_mcc,0.534578469
nt_50_avg,H2AFZ,validation,eval_runtime,2.3115
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1297.879
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.192
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.534707665
nt_50_avg,H2AFZ,validation,eval_accuracy,0.741477273
nt_50_avg,H2AFZ,validation,eval_f1_score,0.741497486
nt_50_avg,H2AFZ,validation,eval_mcc,0.483667248
nt_50_avg,H2AFZ,validation,eval_runtime,2.1419
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1400.653
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.603
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.525119543
nt_50_avg,H2AFZ,validation,eval_accuracy,0.738991477
nt_50_avg,H2AFZ,validation,eval_f1_score,0.736338611
nt_50_avg,H2AFZ,validation,eval_mcc,0.49205294
nt_50_avg,H2AFZ,validation,eval_runtime,2.3254
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1290.103
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.16
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,validation,eval_loss,0.515956819
nt_50_avg,H2AFZ,validation,eval_accuracy,0.744673295
nt_50_avg,H2AFZ,validation,eval_f1_score,0.743735184
nt_50_avg,H2AFZ,validation,eval_mcc,0.494236926
nt_50_avg,H2AFZ,validation,eval_runtime,2.1366
nt_50_avg,H2AFZ,validation,eval_samples_per_second,1404.099
nt_50_avg,H2AFZ,validation,eval_steps_per_second,5.616
nt_50_avg,H2AFZ,validation,epoch,7.13
nt_50_avg,H2AFZ,test,eval_loss,0.51935029
nt_50_avg,H2AFZ,test,eval_accuracy,0.743252841
nt_50_avg,H2AFZ,test,eval_f1_score,0.738208212
nt_50_avg,H2AFZ,test,eval_mcc,0.507247537
nt_50_avg,H2AFZ,test,eval_runtime,2.2479
nt_50_avg,H2AFZ,test,eval_samples_per_second,1334.586
nt_50_avg,H2AFZ,test,eval_steps_per_second,5.338
nt_50_avg,H3K27ac,validation,eval_loss,0.61706543
nt_50_avg,H3K27ac,validation,eval_accuracy,0.737571023
nt_50_avg,H3K27ac,validation,eval_f1_score,0.737399389
nt_50_avg,H3K27ac,validation,eval_mcc,0.475800984
nt_50_avg,H3K27ac,validation,eval_runtime,2.1656
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1385.313
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.541
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.541585088
nt_50_avg,H3K27ac,validation,eval_accuracy,0.743963068
nt_50_avg,H3K27ac,validation,eval_f1_score,0.743226094
nt_50_avg,H3K27ac,validation,eval_mcc,0.488897441
nt_50_avg,H3K27ac,validation,eval_runtime,2.2603
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1327.281
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.309
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.550786912
nt_50_avg,H3K27ac,validation,eval_accuracy,0.732599432
nt_50_avg,H3K27ac,validation,eval_f1_score,0.732612887
nt_50_avg,H3K27ac,validation,eval_mcc,0.46523583
nt_50_avg,H3K27ac,validation,eval_runtime,2.0552
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1459.744
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.839
nt_50_avg,H3K27ac,validation,epoch,8.31
nt_50_avg,H3K27ac,validation,eval_loss,0.508677542
nt_50_avg,H3K27ac,validation,eval_accuracy,0.745738636
nt_50_avg,H3K27ac,validation,eval_f1_score,0.744872736
nt_50_avg,H3K27ac,validation,eval_mcc,0.492820687
nt_50_avg,H3K27ac,validation,eval_runtime,2.117
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1417.082
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.668
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.51069665
nt_50_avg,H3K27ac,validation,eval_accuracy,0.742897727
nt_50_avg,H3K27ac,validation,eval_f1_score,0.742835304
nt_50_avg,H3K27ac,validation,eval_mcc,0.485566908
nt_50_avg,H3K27ac,validation,eval_runtime,2.2499
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1333.393
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.334
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.521409571
nt_50_avg,H3K27ac,validation,eval_accuracy,0.750355114
nt_50_avg,H3K27ac,validation,eval_f1_score,0.750339526
nt_50_avg,H3K27ac,validation,eval_mcc,0.500605601
nt_50_avg,H3K27ac,validation,eval_runtime,2.2579
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1328.685
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.315
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.51631856
nt_50_avg,H3K27ac,validation,eval_accuracy,0.7421875
nt_50_avg,H3K27ac,validation,eval_f1_score,0.740648651
nt_50_avg,H3K27ac,validation,eval_mcc,0.490789186
nt_50_avg,H3K27ac,validation,eval_runtime,2.1196
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1415.358
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.661
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,validation,eval_loss,0.513173401
nt_50_avg,H3K27ac,validation,eval_accuracy,0.759588068
nt_50_avg,H3K27ac,validation,eval_f1_score,0.757600348
nt_50_avg,H3K27ac,validation,eval_mcc,0.52477606
nt_50_avg,H3K27ac,validation,eval_runtime,2.1662
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1384.887
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.54
nt_50_avg,H3K27ac,validation,epoch,8.31
nt_50_avg,H3K27ac,validation,eval_loss,0.51309973
nt_50_avg,H3K27ac,validation,eval_accuracy,0.754261364
nt_50_avg,H3K27ac,validation,eval_f1_score,0.75412743
nt_50_avg,H3K27ac,validation,eval_mcc,0.509286925
nt_50_avg,H3K27ac,validation,eval_runtime,2.1262
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1410.938
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.644
nt_50_avg,H3K27ac,validation,epoch,8.31
nt_50_avg,H3K27ac,validation,eval_loss,0.500027716
nt_50_avg,H3K27ac,validation,eval_accuracy,0.748579545
nt_50_avg,H3K27ac,validation,eval_f1_score,0.748101657
nt_50_avg,H3K27ac,validation,eval_mcc,0.499637777
nt_50_avg,H3K27ac,validation,eval_runtime,2.1498
nt_50_avg,H3K27ac,validation,eval_samples_per_second,1395.489
nt_50_avg,H3K27ac,validation,eval_steps_per_second,5.582
nt_50_avg,H3K27ac,validation,epoch,7.13
nt_50_avg,H3K27ac,test,eval_loss,0.546869695
nt_50_avg,H3K27ac,test,eval_accuracy,0.728515625
nt_50_avg,H3K27ac,test,eval_f1_score,0.723542675
nt_50_avg,H3K27ac,test,eval_mcc,0.460852468
nt_50_avg,H3K27ac,test,eval_runtime,1.3652
nt_50_avg,H3K27ac,test,eval_samples_per_second,1183.685
nt_50_avg,H3K27ac,test,eval_steps_per_second,5.127
nt_50_avg,H3K27me3,validation,eval_loss,0.45558393
nt_50_avg,H3K27me3,validation,eval_accuracy,0.784801136
nt_50_avg,H3K27me3,validation,eval_f1_score,0.781638973
nt_50_avg,H3K27me3,validation,eval_mcc,0.594921376
nt_50_avg,H3K27me3,validation,eval_runtime,2.455
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1222.012
nt_50_avg,H3K27me3,validation,eval_steps_per_second,4.888
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.466436416
nt_50_avg,H3K27me3,validation,eval_accuracy,0.785511364
nt_50_avg,H3K27me3,validation,eval_f1_score,0.783861945
nt_50_avg,H3K27me3,validation,eval_mcc,0.579441127
nt_50_avg,H3K27me3,validation,eval_runtime,2.2099
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1357.537
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.43
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.452118516
nt_50_avg,H3K27me3,validation,eval_accuracy,0.797940341
nt_50_avg,H3K27me3,validation,eval_f1_score,0.797670527
nt_50_avg,H3K27me3,validation,eval_mcc,0.597174365
nt_50_avg,H3K27me3,validation,eval_runtime,2.1667
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1384.606
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.538
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.466343313
nt_50_avg,H3K27me3,validation,eval_accuracy,0.793678977
nt_50_avg,H3K27me3,validation,eval_f1_score,0.793176857
nt_50_avg,H3K27me3,validation,eval_mcc,0.590814437
nt_50_avg,H3K27me3,validation,eval_runtime,2.1407
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1401.43
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.606
nt_50_avg,H3K27me3,validation,epoch,8.31
nt_50_avg,H3K27me3,validation,eval_loss,0.455076396
nt_50_avg,H3K27me3,validation,eval_accuracy,0.796164773
nt_50_avg,H3K27me3,validation,eval_f1_score,0.795386465
nt_50_avg,H3K27me3,validation,eval_mcc,0.597804573
nt_50_avg,H3K27me3,validation,eval_runtime,2.3094
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1299.033
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.196
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.464321256
nt_50_avg,H3K27me3,validation,eval_accuracy,0.796875
nt_50_avg,H3K27me3,validation,eval_f1_score,0.796703561
nt_50_avg,H3K27me3,validation,eval_mcc,0.595013492
nt_50_avg,H3K27me3,validation,eval_runtime,2.1569
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1390.874
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.563
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.428232491
nt_50_avg,H3K27me3,validation,eval_accuracy,0.80859375
nt_50_avg,H3K27me3,validation,eval_f1_score,0.808390778
nt_50_avg,H3K27me3,validation,eval_mcc,0.617638286
nt_50_avg,H3K27me3,validation,eval_runtime,2.1558
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1391.612
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.566
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.482188016
nt_50_avg,H3K27me3,validation,eval_accuracy,0.796519886
nt_50_avg,H3K27me3,validation,eval_f1_score,0.796454274
nt_50_avg,H3K27me3,validation,eval_mcc,0.592513
nt_50_avg,H3K27me3,validation,eval_runtime,2.0758
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1445.197
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.781
nt_50_avg,H3K27me3,validation,epoch,8.31
nt_50_avg,H3K27me3,validation,eval_loss,0.43213585
nt_50_avg,H3K27me3,validation,eval_accuracy,0.803977273
nt_50_avg,H3K27me3,validation,eval_f1_score,0.803010361
nt_50_avg,H3K27me3,validation,eval_mcc,0.617603171
nt_50_avg,H3K27me3,validation,eval_runtime,2.4314
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1233.882
nt_50_avg,H3K27me3,validation,eval_steps_per_second,4.936
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,validation,eval_loss,0.442957789
nt_50_avg,H3K27me3,validation,eval_accuracy,0.797940341
nt_50_avg,H3K27me3,validation,eval_f1_score,0.797377964
nt_50_avg,H3K27me3,validation,eval_mcc,0.602937039
nt_50_avg,H3K27me3,validation,eval_runtime,2.0793
nt_50_avg,H3K27me3,validation,eval_samples_per_second,1442.794
nt_50_avg,H3K27me3,validation,eval_steps_per_second,5.771
nt_50_avg,H3K27me3,validation,epoch,7.13
nt_50_avg,H3K27me3,test,eval_loss,0.456406027
nt_50_avg,H3K27me3,test,eval_accuracy,0.785866477
nt_50_avg,H3K27me3,test,eval_f1_score,0.782698091
nt_50_avg,H3K27me3,test,eval_mcc,0.587938657
nt_50_avg,H3K27me3,test,eval_runtime,2.209
nt_50_avg,H3K27me3,test,eval_samples_per_second,1358.104
nt_50_avg,H3K27me3,test,eval_steps_per_second,5.432
nt_50_avg,H3K36me3,validation,eval_loss,0.441225559
nt_50_avg,H3K36me3,validation,eval_accuracy,0.807173295
nt_50_avg,H3K36me3,validation,eval_f1_score,0.807102388
nt_50_avg,H3K36me3,validation,eval_mcc,0.614826324
nt_50_avg,H3K36me3,validation,eval_runtime,2.14
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1401.853
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.607
nt_50_avg,H3K36me3,validation,epoch,8.31
nt_50_avg,H3K36me3,validation,eval_loss,0.411100835
nt_50_avg,H3K36me3,validation,eval_accuracy,0.814985795
nt_50_avg,H3K36me3,validation,eval_f1_score,0.813952449
nt_50_avg,H3K36me3,validation,eval_mcc,0.640509149
nt_50_avg,H3K36me3,validation,eval_runtime,2.2149
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1354.488
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.418
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.394756109
nt_50_avg,H3K36me3,validation,eval_accuracy,0.821022727
nt_50_avg,H3K36me3,validation,eval_f1_score,0.820743694
nt_50_avg,H3K36me3,validation,eval_mcc,0.64491174
nt_50_avg,H3K36me3,validation,eval_runtime,2.1209
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1414.485
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.658
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.434688568
nt_50_avg,H3K36me3,validation,eval_accuracy,0.806818182
nt_50_avg,H3K36me3,validation,eval_f1_score,0.80660727
nt_50_avg,H3K36me3,validation,eval_mcc,0.614932472
nt_50_avg,H3K36me3,validation,eval_runtime,2.3978
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1251.146
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.005
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.436269164
nt_50_avg,H3K36me3,validation,eval_accuracy,0.810369318
nt_50_avg,H3K36me3,validation,eval_f1_score,0.809600925
nt_50_avg,H3K36me3,validation,eval_mcc,0.625187041
nt_50_avg,H3K36me3,validation,eval_runtime,2.0289
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1478.615
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.914
nt_50_avg,H3K36me3,validation,epoch,8.31
nt_50_avg,H3K36me3,validation,eval_loss,0.422569633
nt_50_avg,H3K36me3,validation,eval_accuracy,0.811434659
nt_50_avg,H3K36me3,validation,eval_f1_score,0.811387692
nt_50_avg,H3K36me3,validation,eval_mcc,0.624117993
nt_50_avg,H3K36me3,validation,eval_runtime,2.0105
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1492.135
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.969
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.444155008
nt_50_avg,H3K36me3,validation,eval_accuracy,0.8046875
nt_50_avg,H3K36me3,validation,eval_f1_score,0.804724774
nt_50_avg,H3K36me3,validation,eval_mcc,0.609092959
nt_50_avg,H3K36me3,validation,eval_runtime,2.2495
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1333.619
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.334
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.42098856
nt_50_avg,H3K36me3,validation,eval_accuracy,0.812144886
nt_50_avg,H3K36me3,validation,eval_f1_score,0.812040585
nt_50_avg,H3K36me3,validation,eval_mcc,0.624539441
nt_50_avg,H3K36me3,validation,eval_runtime,2.2393
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1339.676
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.359
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,validation,eval_loss,0.423818707
nt_50_avg,H3K36me3,validation,eval_accuracy,0.813210227
nt_50_avg,H3K36me3,validation,eval_f1_score,0.812955213
nt_50_avg,H3K36me3,validation,eval_mcc,0.628242144
nt_50_avg,H3K36me3,validation,eval_runtime,2.1047
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1425.362
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.701
nt_50_avg,H3K36me3,validation,epoch,8.31
nt_50_avg,H3K36me3,validation,eval_loss,0.424865454
nt_50_avg,H3K36me3,validation,eval_accuracy,0.805042614
nt_50_avg,H3K36me3,validation,eval_f1_score,0.804263474
nt_50_avg,H3K36me3,validation,eval_mcc,0.618500071
nt_50_avg,H3K36me3,validation,eval_runtime,2.0618
nt_50_avg,H3K36me3,validation,eval_samples_per_second,1455.066
nt_50_avg,H3K36me3,validation,eval_steps_per_second,5.82
nt_50_avg,H3K36me3,validation,epoch,7.13
nt_50_avg,H3K36me3,test,eval_loss,0.440352887
nt_50_avg,H3K36me3,test,eval_accuracy,0.789772727
nt_50_avg,H3K36me3,test,eval_f1_score,0.788652641
nt_50_avg,H3K36me3,test,eval_mcc,0.58568321
nt_50_avg,H3K36me3,test,eval_runtime,2.008
nt_50_avg,H3K36me3,test,eval_samples_per_second,1494.016
nt_50_avg,H3K36me3,test,eval_steps_per_second,5.976
nt_50_avg,H3K4me1,validation,eval_loss,0.521150231
nt_50_avg,H3K4me1,validation,eval_accuracy,0.730113636
nt_50_avg,H3K4me1,validation,eval_f1_score,0.726024539
nt_50_avg,H3K4me1,validation,eval_mcc,0.482483815
nt_50_avg,H3K4me1,validation,eval_runtime,2.3454
